,sample_idx,area,encoding,feature,phoneme,pitch,speaker,res
0,15,tokyo,rle,pitch_delta,ets,L_,1,HL
0,16,tokyo,rle,pitch_delta,ets,L_,3,HLL
0,17,tokyo,rle,pitch_delta,ets,L_,2,HL
0,0,tokyo,rle_delta,pitch_delta,etsto,H_L,3,LHHLLH
0,1,tokyo,rle_delta,pitch_delta,etsto,H_L,2,HLLH
0,2,tokyo,rle_delta,pitch_delta,etsto,H_L,1,LHHL
0,3,tokyo,rle_delta,pitch_delta,esko,H_L,3,HLLHHL
0,4,tokyo,rle_delta,pitch_delta,esko,H_L,2,LHHLL
0,5,tokyo,rle_delta,pitch_delta,esko,H_L,1,LHHLLHH
0,6,tokyo,rle_delta,pitch_delta,es,L_,3,HLLH
0,7,tokyo,rle_delta,pitch_delta,esko,L_H,1,HLLHH
0,8,tokyo,rle_delta,pitch_delta,es,L_,2,HLLH
0,9,tokyo,rle_delta,pitch_delta,esko,L_H,3,LHHLL
0,10,tokyo,rle_delta,pitch_delta,esko,L_H,2,HLLHH
0,11,tokyo,rle_delta,pitch_delta,es,L_,1,HLLH
0,12,tokyo,rle_delta,pitch_delta,etsto,L_H,1,LHHLLH
0,13,tokyo,rle_delta,pitch_delta,etsto,L_H,3,HLLHHL
0,14,tokyo,rle_delta,pitch_delta,etsto,L_H,2,HLLHH
0,15,tokyo,rle_delta,pitch_delta,ets,L_,1,HLLH
0,16,tokyo,rle_delta,pitch_delta,ets,L_,3,HLLH
0,17,tokyo,rle_delta,pitch_delta,ets,L_,2,HL
0,0,tokyo,rle,pitch:pitch_delta,etsto,H_L,3,HLL
0,1,tokyo,rle,pitch:pitch_delta,etsto,H_L,2,H
0,2,tokyo,rle,pitch:pitch_delta,etsto,H_L,1,HLL
0,3,tokyo,rle,pitch:pitch_delta,esko,H_L,3,HLL
0,4,tokyo,rle,pitch:pitch_delta,esko,H_L,2,H
0,5,tokyo,rle,pitch:pitch_delta,esko,H_L,1,HLL
0,6,tokyo,rle,pitch:pitch_delta,es,L_,3,H
0,7,tokyo,rle,pitch:pitch_delta,esko,L_H,1,H
0,8,tokyo,rle,pitch:pitch_delta,es,L_,2,H
0,9,tokyo,rle,pitch:pitch_delta,esko,L_H,3,HLL
0,10,tokyo,rle,pitch:pitch_delta,esko,L_H,2,H
0,11,tokyo,rle,pitch:pitch_delta,es,L_,1,H
0,12,tokyo,rle,pitch:pitch_delta,etsto,L_H,1,H
0,13,tokyo,rle,pitch:pitch_delta,etsto,L_H,3,HLL
0,14,tokyo,rle,pitch:pitch_delta,etsto,L_H,2,H
0,15,tokyo,rle,pitch:pitch_delta,ets,L_,1,H
0,16,tokyo,rle,pitch:pitch_delta,ets,L_,3,H
0,17,tokyo,rle,pitch:pitch_delta,ets,L_,2,H
0,0,tokyo,rle_delta,pitch:pitch_delta,etsto,H_L,3,HLLHHLLH
0,1,tokyo,rle_delta,pitch:pitch_delta,etsto,H_L,2,HLLH
0,2,tokyo,rle_delta,pitch:pitch_delta,etsto,H_L,1,HLLHHLL
0,3,tokyo,rle_delta,pitch:pitch_delta,esko,H_L,3,HLLHHLL
0,4,tokyo,rle_delta,pitch:pitch_delta,esko,H_L,2,HLLHH
0,5,tokyo,rle_delta,pitch:pitch_delta,esko,H_L,1,HLLHH
0,6,tokyo,rle_delta,pitch:pitch_delta,es,L_,3,HLL
0,7,tokyo,rle_delta,pitch:pitch_delta,esko,L_H,1,HLLHH
0,8,tokyo,rle_delta,pitch:pitch_delta,es,L_,2,HLL
0,9,tokyo,rle_delta,pitch:pitch_delta,esko,L_H,3,HLLHHL
0,10,tokyo,rle_delta,pitch:pitch_delta,esko,L_H,2,HLLHH
0,11,tokyo,rle_delta,pitch:pitch_delta,es,L_,1,HLL
0,12,tokyo,rle_delta,pitch:pitch_delta,etsto,L_H,1,HLLHHLL
0,13,tokyo,rle_delta,pitch:pitch_delta,etsto,L_H,3,HLLHHLL
0,14,tokyo,rle_delta,pitch:pitch_delta,etsto,L_H,2,HLLHH
0,15,tokyo,rle_delta,pitch:pitch_delta,ets,L_,1,HLL
0,16,tokyo,rle_delta,pitch:pitch_delta,ets,L_,3,HLL
0,17,tokyo,rle_delta,pitch:pitch_delta,ets,L_,2,HLL
0,0,kinki,rle,pitch,etsto,H_L,3,HHL
0,1,kinki,rle,pitch,etsto,H_L,2,HL
0,2,kinki,rle,pitch,etsto,H_L,1,HL
0,3,kinki,rle,pitch,esko,H_L,3,HL
0,4,kinki,rle,pitch,esko,H_L,2,HL
0,5,kinki,rle,pitch,esko,H_L,1,HL
0,6,kinki,rle,pitch,es,L_,3,HL
0,7,kinki,rle,pitch,esko,L_H,1,H
0,8,kinki,rle,pitch,es,L_,2,HL
0,9,kinki,rle,pitch,esko,L_H,3,LLHLL
0,10,kinki,rle,pitch,esko,L_H,2,LLHLL
0,11,kinki,rle,pitch,es,L_,1,HL
0,12,kinki,rle,pitch,etsto,L_H,1,H
0,13,kinki,rle,pitch,etsto,L_H,3,LLHL
0,14,kinki,rle,pitch,etsto,L_H,2,LLHLL
0,15,kinki,rle,pitch,ets,L_,1,HL
0,16,kinki,rle,pitch,ets,L_,3,HL
0,17,kinki,rle,pitch,ets,L_,2,HL
0,0,kinki,rle_delta,pitch,etsto,H_L,3,HLL
0,1,kinki,rle_delta,pitch,etsto,H_L,2,HLL
0,2,kinki,rle_delta,pitch,etsto,H_L,1,HLL
0,3,kinki,rle_delta,pitch,esko,H_L,3,HLL
0,4,kinki,rle_delta,pitch,esko,H_L,2,HLL
0,5,kinki,rle_delta,pitch,esko,H_L,1,HLL
0,6,kinki,rle_delta,pitch,es,L_,3,LLH
0,7,kinki,rle_delta,pitch,esko,L_H,1,LLH
0,8,kinki,rle_delta,pitch,es,L_,2,LLH
0,9,kinki,rle_delta,pitch,esko,L_H,3,LLH
0,10,kinki,rle_delta,pitch,esko,L_H,2,LLH
0,11,kinki,rle_delta,pitch,es,L_,1,HL
0,12,kinki,rle_delta,pitch,etsto,L_H,1,HL
0,13,kinki,rle_delta,pitch,etsto,L_H,3,HLL
0,14,kinki,rle_delta,pitch,etsto,L_H,2,LLH
0,15,kinki,rle_delta,pitch,ets,L_,1,HL
0,16,kinki,rle_delta,pitch,ets,L_,3,HL
0,17,kinki,rle_delta,pitch,ets,L_,2,LLH
0,0,kinki,rle,pitch_delta,etsto,H_L,3,LLH
0,1,kinki,rle,pitch_delta,etsto,H_L,2,HLL
0,2,kinki,rle,pitch_delta,etsto,H_L,1,HLL
0,3,kinki,rle,pitch_delta,esko,H_L,3,HLL
0,4,kinki,rle,pitch_delta,esko,H_L,2,HLL
0,5,kinki,rle,pitch_delta,esko,H_L,1,HLL
0,6,kinki,rle,pitch_delta,es,L_,3,HLL
0,7,kinki,rle,pitch_delta,esko,L_H,1,HLL
0,8,kinki,rle,pitch_delta,es,L_,2,LL
0,9,kinki,rle,pitch_delta,esko,L_H,3,HLL
0,10,kinki,rle,pitch_delta,esko,L_H,2,HLL
0,11,kinki,rle,pitch_delta,es,L_,1,LL
0,12,kinki,rle,pitch_delta,etsto,L_H,1,HLL
0,13,kinki,rle,pitch_delta,etsto,L_H,3,HLLH
0,14,kinki,rle,pitch_delta,etsto,L_H,2,HLL
0,15,kinki,rle,pitch_delta,ets,L_,1,LL
0,16,kinki,rle,pitch_delta,ets,L_,3,HL
0,17,kinki,rle,pitch_delta,ets,L_,2,LL
0,0,kinki,rle_delta,pitch_delta,etsto,H_L,3,HL
0,1,kinki,rle_delta,pitch_delta,etsto,H_L,2,HL
0,2,kinki,rle_delta,pitch_delta,etsto,H_L,1,HL
0,3,kinki,rle_delta,pitch_delta,esko,H_L,3,HL
0,4,kinki,rle_delta,pitch_delta,esko,H_L,2,HLL
0,5,kinki,rle_delta,pitch_delta,esko,H_L,1,HLL
0,6,kinki,rle_delta,pitch_delta,es,L_,3,H
0,7,kinki,rle_delta,pitch_delta,esko,L_H,1,HLL
0,8,kinki,rle_delta,pitch_delta,es,L_,2,HL
0,9,kinki,rle_delta,pitch_delta,esko,L_H,3,HLL
0,10,kinki,rle_delta,pitch_delta,esko,L_H,2,HLL
0,11,kinki,rle_delta,pitch_delta,es,L_,1,HL
0,12,kinki,rle_delta,pitch_delta,etsto,L_H,1,HL
0,13,kinki,rle_delta,pitch_delta,etsto,L_H,3,HL
0,14,kinki,rle_delta,pitch_delta,etsto,L_H,2,HLL
0,15,kinki,rle_delta,pitch_delta,ets,L_,1,HL
0,16,kinki,rle_delta,pitch_delta,ets,L_,3,HL
0,17,kinki,rle_delta,pitch_delta,ets,L_,2,HL
0,0,kinki,rle,pitch:pitch_delta,etsto,H_L,3,HLLH
0,1,kinki,rle,pitch:pitch_delta,etsto,H_L,2,HLLH
0,2,kinki,rle,pitch:pitch_delta,etsto,H_L,1,HLLHL
0,3,kinki,rle,pitch:pitch_delta,esko,H_L,3,HLLH
0,4,kinki,rle,pitch:pitch_delta,esko,H_L,2,HLLH
0,5,kinki,rle,pitch:pitch_delta,esko,H_L,1,HLLH
0,6,kinki,rle,pitch:pitch_delta,es,L_,3,HLL
0,7,kinki,rle,pitch:pitch_delta,esko,L_H,1,HLLH
0,8,kinki,rle,pitch:pitch_delta,es,L_,2,HLL
0,9,kinki,rle,pitch:pitch_delta,esko,L_H,3,HLLH
0,10,kinki,rle,pitch:pitch_delta,esko,L_H,2,HLLH
0,11,kinki,rle,pitch:pitch_delta,es,L_,1,HLL
0,12,kinki,rle,pitch:pitch_delta,etsto,L_H,1,HLLHLL
0,13,kinki,rle,pitch:pitch_delta,etsto,L_H,3,HLLHLL
0,14,kinki,rle,pitch:pitch_delta,etsto,L_H,2,HLLH
0,15,kinki,rle,pitch:pitch_delta,ets,L_,1,HLL
0,16,kinki,rle,pitch:pitch_delta,ets,L_,3,HL
0,17,kinki,rle,pitch:pitch_delta,ets,L_,2,HLL
0,0,kinki,rle_delta,pitch:pitch_delta,etsto,H_L,3,HL
0,1,kinki,rle_delta,pitch:pitch_delta,etsto,H_L,2,HL
0,2,kinki,rle_delta,pitch:pitch_delta,etsto,H_L,1,HL
0,3,kinki,rle_delta,pitch:pitch_delta,esko,H_L,3,HL
0,4,kinki,rle_delta,pitch:pitch_delta,esko,H_L,2,HL
0,5,kinki,rle_delta,pitch:pitch_delta,esko,H_L,1,HL
0,6,kinki,rle_delta,pitch:pitch_delta,es,L_,3,HL
0,7,kinki,rle_delta,pitch:pitch_delta,esko,L_H,1,HL
0,8,kinki,rle_delta,pitch:pitch_delta,es,L_,2,HL
0,9,kinki,rle_delta,pitch:pitch_delta,esko,L_H,3,HL
0,10,kinki,rle_delta,pitch:pitch_delta,esko,L_H,2,HL
0,11,kinki,rle_delta,pitch:pitch_delta,es,L_,1,HL
0,12,kinki,rle_delta,pitch:pitch_delta,etsto,L_H,1,HL
0,13,kinki,rle_delta,pitch:pitch_delta,etsto,L_H,3,HL
0,14,kinki,rle_delta,pitch:pitch_delta,etsto,L_H,2,HL
0,15,kinki,rle_delta,pitch:pitch_delta,ets,L_,1,HL
0,16,kinki,rle_delta,pitch:pitch_delta,ets,L_,3,HL
0,17,kinki,rle_delta,pitch:pitch_delta,ets,L_,2,HL
